observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[-10.813, -8.596, 89.042, 103.393, -74.318, 178.526, 0.0, 0.0, 0.0]",,0.033333333,1,13,4260,0
"[-10.813, -8.596, 89.042, 103.393, -74.318, 178.526, 0.0, 0.0, 0.0]",,0.033333333,1,13,4260,0
"[-11.356, 37.493, 30.046, 101.357, -54.529, 178.379, 0.0, 0.0, 0.0]",,0.066666667,2,13,4261,0
"[-8.969, 37.496, 30.045, 101.359, -32.870, 178.374, 0.0, 0.0, 0.0]",,0.1,3,13,4262,0
"[-6.097, 36.068, 30.054, 102.032, -9.462, 178.509, 0.0, 0.0, 0.0]",,0.133333333,4,13,4263,0
"[-6.049, 34.675, 30.055, 127.132, -6.311, 224.330, 0.0, 0.0, 0.0]",,0.166666667,5,13,4264,0
"[-9.685, -6.285, 106.512, 70.819, -15.364, 244.642, 0.0, 0.0, 0.0]",,0.2,6,13,4265,0
"[-19.761, -6.343, 110.738, 91.428, -49.773, 274.474, 0.0, 0.0, 0.0]",,0.233333333,7,13,4266,0
"[-20.040, -2.616, 110.176, 99.896, -51.546, 276.716, 0.0, 0.0, 0.0]",,0.266666667,8,13,4267,0
"[-10.470, -18.613, 110.174, 118.023, -51.546, 276.714, 0.0, 0.0, 0.0]",,0.3,9,13,4268,0
"[15.536, -32.339, 98.245, 121.389, -86.715, 198.349, 0.0, 0.0, 0.0]",,0.333333333,10,13,4269,0
